"Time(s),Cell1_Temp(°C),Cell2_Temp(°C),Cell3_Temp(°C),Cell4_Temp(°C),Cell5_Temp(°C),Cell6_Temp(°C)",,,,,,,,,
"0,25,25,25,25,25,25",,,,,,,,,
"60,28.3,28.5,28.7,28.6,28.4,28.2",,,,,,,,,
"120,31.2,31.8,32.1,31.9,31.5,31.1",,,,,,,,,
"180,34.1,34.9,35.4,35.1,34.6,34.0",,,,,,,,,
"240,36.8,37.7,38.3,38.0,37.4,36.7",,,,,,,,,
"300,39.2,40.1,40.8,40.5,39.8,39.0",,,,,,,,,
"360,41.0,42.0,42.7,42.4,41.6,40.8",,,,,,,,,
"420,42.1,43.1,43.8,43.5,42.7,41.9",,,,,,,,,
"480,42.3,43.3,44.0,43.7,42.9,42.1",,,,,,,,,
"540,42.3,43.3,44.0,43.7,42.9,42.1",,,,,,,,,
"600,42.3,43.3,44.0,43.7,42.9,42.1",,,,,,,,,
,,,,,,,,,
